id,cuisine
18009,korean
28583,chinese
41580,jamaican
29752,mexican
35687,southern_us
38527,chinese
19666,korean
41217,mexican
28753,british
22659,indian
21749,french
44967,italian
42969,french
44883,indian
20827,filipino
23196,chinese
35387,southern_us
33780,mexican
19001,mexican
16526,southern_us
42455,italian
47453,italian
42478,french
11885,greek
16585,french
29639,french
26245,mexican
38516,irish
47520,british
26212,greek
23696,italian
14926,chinese
13292,indian
27346,italian
1384,korean
15959,russian
42297,italian
46235,mexican
21181,indian
9809,vietnamese
22982,italian
23120,italian
26743,italian
12741,italian
7050,italian
22437,greek
14760,chinese
10649,japanese
48065,italian
39931,cajun_creole
32935,mexican
40142,mexican
19103,british
38267,filipino
30512,italian
3324,irish
26197,japanese
384,brazilian
47230,mexican
39748,mexican
41038,korean
24878,indian
42624,irish
45706,spanish
8874,mexican
23878,vietnamese
47234,mexican
24075,indian
46323,indian
22562,chinese
11358,spanish
9201,french
38620,mexican
47638,italian
21238,british
11053,mexican
46602,mexican
13937,british
21876,filipino
20798,chinese
24381,indian
48178,spanish
45832,indian
27560,italian
23247,indian
28975,italian
43230,brazilian
9126,chinese
13021,chinese
28194,british
25617,italian
36125,mexican
16454,italian
1607,irish
38526,southern_us
18755,mexican
12035,chinese
16047,mexican
15419,japanese
16971,italian
31459,chinese
27888,brazilian
13900,italian
12376,mexican
1658,moroccan
29431,italian
22290,indian
28464,british
37953,southern_us
20814,southern_us
35987,korean
2329,mexican
43237,french
30647,japanese
16675,italian
37722,mexican
32438,mexican
20287,jamaican
43296,cajun_creole
6237,mexican
48560,italian
20810,french
34951,french
31850,indian
47745,greek
37815,japanese
9872,jamaican
5592,southern_us
27411,indian
39320,italian
40247,italian
19792,italian
40754,chinese
14365,mexican
14468,italian
47563,cajun_creole
19611,italian
7163,japanese
43069,mexican
27505,chinese
36500,italian
25932,southern_us
817,greek
8471,greek
48250,french
9413,cajun_creole
12097,italian
8416,mexican
5892,mexican
676,british
47015,cajun_creole
21891,thai
14630,italian
36195,japanese
25981,italian
39964,indian
28298,southern_us
31954,greek
26620,italian
14932,japanese
47426,russian
1038,italian
8077,italian
37141,italian
45447,chinese
9624,mexican
45589,indian
7265,cajun_creole
31844,french
13046,chinese
9867,indian
29184,mexican
34783,mexican
2823,japanese
18932,cajun_creole
11112,mexican
12859,mexican
9365,thai
